0 -535 -976 -517 -958 1 1 1 1 5 3 
0 -1317 -2016 -263 -962 1 1 1 1 4 5 
1 500 58 507 65 0 0 0 0 4 1 
1 503 62 -12 -453 0 0 1 1 0 0 
1 514 78 -530 -966 0 0 1 1 2 4 
0 -516 -948 -529 -961 1 1 1 1 2 4 
0 -1288 -1976 -266 -954 1 1 1 1 5 1 
1 542 114 525 97 0 0 0 0 3 4 
0 540 217 10 -313 0 0 0 1 0 2 
0 531 311 -509 -729 0 0 1 1 4 4 
0 -506 -626 -501 -621 1 1 1 1 5 3 
1 -1291 -1567 -243 -519 1 1 1 1 2 1 
1 500 586 519 605 0 0 0 0 1 5 
1 503 592 -1 88 0 0 1 0 2 1 
0 512 604 -520 -428 0 0 1 1 0 4 
1 -530 -434 -527 -431 1 1 1 1 2 0 
0 -1299 -1459 -270 -430 1 1 1 1 1 2 
1 524 631 513 620 0 0 0 0 3 0 
0 537 644 -1 106 0 0 1 0 1 5 
1 535 643 -515 -407 0 0 1 1 4 1 
1 -472 -361 -500 -389 1 1 1 1 2 1 
0 -1215 -1355 -229 -369 1 1 1 1 3 0 
0 606 726 559 679 0 0 0 0 5 2 
1 592 718 48 174 0 0 0 0 0 0 
0 577 712 -461 -326 0 0 1 1 0 2 
1 -433 -291 -457 -315 1 1 1 1 3 4 
1 -1178 -1289 -192 -303 1 1 1 1 1 4 
0 563 721 551 709 0 0 0 0 2 3 
0 564 730 46 212 0 0 0 0 4 2 
1 553 726 -462 -289 0 0 1 1 2 4 
0 -447 -268 -467 -288 1 1 1 1 3 1 
0 -1201 -1277 -214 -290 1 1 1 1 3 0 
1 489 673 511 695 0 0 0 0 0 5 
0 467 654 2 189 0 0 0 0 0 1 
0 462 642 -501 -321 0 0 1 1 5 0 
1 -551 -381 -512 -342 1 1 1 1 1 0 
1 -1312 -1398 -274 -360 1 1 1 1 1 2 
1 462 622 467 627 0 0 0 0 1 1 
0 484 638 -31 123 0 0 1 0 5 4 
1 488 635 -534 -387 0 0 1 1 1 1 
0 -519 -379 -531 -391 1 1 1 1 0 2 
